"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 01 21:19:29 CST 2022","Sun May 01 21:19:30 CST 2022","1472","runAll","source","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","updateSourceStreamKey","updateSourceStreamKey",""
"passed","Sun May 01 21:19:18 CST 2022","Sun May 01 21:19:19 CST 2022","1510","runAll","source","com.yolocast.qa.zsc.ApiTest.SettingTest.loginTest","com.yolocast.qa.zsc.ApiTest.SettingTest.loginTest","loginYolocast","loginYolocast",""
"passed","Sun May 01 21:19:33 CST 2022","Sun May 01 21:19:34 CST 2022","1030","runAll","activity","com.yolocast.qa.zsc.ApiTest.ActivityListTest.ActivityTest","com.yolocast.qa.zsc.ApiTest.ActivityListTest.ActivityTest","getScheduleEventsList","getScheduleEventsList",""
"passed","Sun May 01 21:19:26 CST 2022","Sun May 01 21:19:28 CST 2022","1645","runAll","source","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","deleteFirstSource","deleteFirstSource",""
"passed","Sun May 01 21:19:20 CST 2022","Sun May 01 21:19:26 CST 2022","6365","runAll","source","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","getSourceList","getSourceList",""
"passed","Sun May 01 21:19:28 CST 2022","Sun May 01 21:19:29 CST 2022","1282","runAll","source","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","updateSource","updateSource",""
